Charstic_Name,Result_Value,Result_UOM_1,Rslt_Det_Cond1,Sample_Frac1,Analyical_Method,Method_Det_Limit,Result_Status,Comments_Txt,Lab_Accession,SubmittedTo_SEQ,Sample_Depth,Sample_Depth_UOM,Instream_Locaction,Sample_Type,Activity_Type,Activity_Name,Field_Activity_Date,Field_Activity_Time,STA_SEQ,Station_Name,Station_Type,Project_Name,Trip_Name,Location,State_Name,Municipality_Name,ADB_SegmentID1,SubBasin,Station_Long,Station_Lat,Station_Type_1,Org_Name_1,textbox24
"Alkalinity, total",11,ppm,,,Alkalinity by Titration,"6.000 ppm - Estimated Detection Level, 2.000 ppm - Method Detection Level (MDL)",,,190219-002,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,11:45:00 AM,20123,Labonte Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Babcock Road,Connecticut,WILLINGTON,,3100 - Willimantic River - Willimantic - Thames - Willimantic River,-72.3077,41.90359,River/Stream,CESE,Total count:   480
Silica,13.057,ppm,,,Dissolved Silica by Colorimetry,"0.050 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-002,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,11:45:00 AM,20123,Labonte Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Babcock Road,Connecticut,WILLINGTON,,3100 - Willimantic River - Willimantic - Thames - Willimantic River,-72.3077,41.90359,River/Stream,CESE,Total count:   480
Calcium,6610,ppb,,,Calcium - AA Spectrometry,"100.000 ppb - Estimated Detection Level, 25.000 ppb - Method Detection Level (MDL)",,,190219-002,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,11:45:00 AM,20123,Labonte Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Babcock Road,Connecticut,WILLINGTON,,3100 - Willimantic River - Willimantic - Thames - Willimantic River,-72.3077,41.90359,River/Stream,CESE,Total count:   480
Total solids,80,ppm,,,Total Residue,"41.000 ppm - Estimated Detection Level, 14.000 ppm - Method Detection Level (MDL)",,,190219-002,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,11:45:00 AM,20123,Labonte Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Babcock Road,Connecticut,WILLINGTON,,3100 - Willimantic River - Willimantic - Thames - Willimantic River,-72.3077,41.90359,River/Stream,CESE,Total count:   480
Nitrite,,ppm,Not Detected,,Nitrate-Nitrite Nitrogen by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-002,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,11:45:00 AM,20123,Labonte Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Babcock Road,Connecticut,WILLINGTON,,3100 - Willimantic River - Willimantic - Thames - Willimantic River,-72.3077,41.90359,River/Stream,CESE,Total count:   480
Orthophosphate,0.007,ppm,,,Phosphorus by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.001 ppm - Method Detection Level (MDL)",,,190219-003,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,1:00:00 PM,16873,MOUNT HOPE RIVER,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,US of rte 89,Connecticut,ASHFORD,CT3206-00_02,3206 - Mount Hope River - Natchaug - Thames - Mount Hope River,-72.1639,41.8814,River/Stream,CESE,Total count:   480
Inorganic nitrogen (nitrate and nitrite),0.238,ppm,,,Nitrate-Nitrite Nitrogen by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-003,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,1:00:00 PM,16873,MOUNT HOPE RIVER,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,US of rte 89,Connecticut,ASHFORD,CT3206-00_02,3206 - Mount Hope River - Natchaug - Thames - Mount Hope River,-72.1639,41.8814,River/Stream,CESE,Total count:   480
Nitrogen,0.299,ppm,,,Nitrate-Nitrite Nitrogen by Colorimetry,"0.050 ppm - Estimated Detection Level, 0.008 ppm - Method Detection Level (MDL)",,,190219-003,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,1:00:00 PM,16873,MOUNT HOPE RIVER,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,US of rte 89,Connecticut,ASHFORD,CT3206-00_02,3206 - Mount Hope River - Natchaug - Thames - Mount Hope River,-72.1639,41.8814,River/Stream,CESE,Total count:   480
Turbidity,0.8,None,,,Turbidity by Nephelometry,"0.300 None - Estimated Detection Level, 0.100 None - Method Detection Level (MDL)",,,190219-003,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,1:00:00 PM,16873,MOUNT HOPE RIVER,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,US of rte 89,Connecticut,ASHFORD,CT3206-00_02,3206 - Mount Hope River - Natchaug - Thames - Mount Hope River,-72.1639,41.8814,River/Stream,CESE,Total count:   480
"Hardness, Ca, Mg",28.9,ppm,,,Hardness in Water by EDTA Titration,"0.700 ppm - Estimated Detection Level, 0.200 ppm - Method Detection Level (MDL)",,,190219-003,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,1:00:00 PM,16873,MOUNT HOPE RIVER,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,US of rte 89,Connecticut,ASHFORD,CT3206-00_02,3206 - Mount Hope River - Natchaug - Thames - Mount Hope River,-72.1639,41.8814,River/Stream,CESE,Total count:   480
Magnesium,3070,ppb,,,Calcium - AA Spectrometry,"100.000 ppb - Estimated Detection Level, 25.000 ppb - Method Detection Level (MDL)",,,190219-003,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,1:00:00 PM,16873,MOUNT HOPE RIVER,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,US of rte 89,Connecticut,ASHFORD,CT3206-00_02,3206 - Mount Hope River - Natchaug - Thames - Mount Hope River,-72.1639,41.8814,River/Stream,CESE,Total count:   480
Chloride,32.1,ppm,,,Inorganic Anions by Ion Chromatography,"2.500 ppm - Estimated Detection Level, 0.200 ppm - Method Detection Level (MDL)",,,190219-003,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,1:00:00 PM,16873,MOUNT HOPE RIVER,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,US of rte 89,Connecticut,ASHFORD,CT3206-00_02,3206 - Mount Hope River - Natchaug - Thames - Mount Hope River,-72.1639,41.8814,River/Stream,CESE,Total count:   480
Phosphorus,0.013,ppm,,,Total Phosphorus After Block Digestion,"0.010 ppm - Estimated Detection Level, 0.001 ppm - Method Detection Level (MDL)",,,190219-004,2,0.1,m,Center of Channel,discrete,Quality Control Sample-Field Replicate,Duplicate - Water Chemistry - QA / QC,6/18/2019,1:00:00 PM,16873,MOUNT HOPE RIVER,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,US of rte 89,Connecticut,ASHFORD,CT3206-00_02,3206 - Mount Hope River - Natchaug - Thames - Mount Hope River,-72.1639,41.8814,River/Stream,CESE,Total count:   480
Ammonia-nitrogen,0.015,ppm,,,Ammonia Nitrogen by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-004,2,0.1,m,Center of Channel,discrete,Quality Control Sample-Field Replicate,Duplicate - Water Chemistry - QA / QC,6/18/2019,1:00:00 PM,16873,MOUNT HOPE RIVER,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,US of rte 89,Connecticut,ASHFORD,CT3206-00_02,3206 - Mount Hope River - Natchaug - Thames - Mount Hope River,-72.1639,41.8814,River/Stream,CESE,Total count:   480
Total solids,100,ppm,,,Total Residue,"41.000 ppm - Estimated Detection Level, 14.000 ppm - Method Detection Level (MDL)",,,190219-004,2,0.1,m,Center of Channel,discrete,Quality Control Sample-Field Replicate,Duplicate - Water Chemistry - QA / QC,6/18/2019,1:00:00 PM,16873,MOUNT HOPE RIVER,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,US of rte 89,Connecticut,ASHFORD,CT3206-00_02,3206 - Mount Hope River - Natchaug - Thames - Mount Hope River,-72.1639,41.8814,River/Stream,CESE,Total count:   480
"Alkalinity, total",16,ppm,,,Alkalinity by Titration,"6.000 ppm - Estimated Detection Level, 2.000 ppm - Method Detection Level (MDL)",,,190219-004,2,0.1,m,Center of Channel,discrete,Quality Control Sample-Field Replicate,Duplicate - Water Chemistry - QA / QC,6/18/2019,1:00:00 PM,16873,MOUNT HOPE RIVER,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,US of rte 89,Connecticut,ASHFORD,CT3206-00_02,3206 - Mount Hope River - Natchaug - Thames - Mount Hope River,-72.1639,41.8814,River/Stream,CESE,Total count:   480
Organic carbon,2,ppm,,,Total Organic Carbon by Combustion,"1.000 ppm - Estimated Detection Level, 0.500 ppm - Method Detection Level (MDL)",,,190219-004,2,0.1,m,Center of Channel,discrete,Quality Control Sample-Field Replicate,Duplicate - Water Chemistry - QA / QC,6/18/2019,1:00:00 PM,16873,MOUNT HOPE RIVER,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,US of rte 89,Connecticut,ASHFORD,CT3206-00_02,3206 - Mount Hope River - Natchaug - Thames - Mount Hope River,-72.1639,41.8814,River/Stream,CESE,Total count:   480
Total suspended solids,2,ppm,,,Non-Filterable Residue - TSS,"5.000 ppm - Estimated Detection Level, 2.000 ppm - Method Detection Level (MDL)",,,190219-004,2,0.1,m,Center of Channel,discrete,Quality Control Sample-Field Replicate,Duplicate - Water Chemistry - QA / QC,6/18/2019,1:00:00 PM,16873,MOUNT HOPE RIVER,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,US of rte 89,Connecticut,ASHFORD,CT3206-00_02,3206 - Mount Hope River - Natchaug - Thames - Mount Hope River,-72.1639,41.8814,River/Stream,CESE,Total count:   480
Calcium,6780,ppb,,,Calcium - AA Spectrometry,"100.000 ppb - Estimated Detection Level, 25.000 ppb - Method Detection Level (MDL)",,,190219-004,2,0.1,m,Center of Channel,discrete,Quality Control Sample-Field Replicate,Duplicate - Water Chemistry - QA / QC,6/18/2019,1:00:00 PM,16873,MOUNT HOPE RIVER,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,US of rte 89,Connecticut,ASHFORD,CT3206-00_02,3206 - Mount Hope River - Natchaug - Thames - Mount Hope River,-72.1639,41.8814,River/Stream,CESE,Total count:   480
Nitrite,,ppm,Not Detected,,Nitrate-Nitrite Nitrogen by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-004,2,0.1,m,Center of Channel,discrete,Quality Control Sample-Field Replicate,Duplicate - Water Chemistry - QA / QC,6/18/2019,1:00:00 PM,16873,MOUNT HOPE RIVER,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,US of rte 89,Connecticut,ASHFORD,CT3206-00_02,3206 - Mount Hope River - Natchaug - Thames - Mount Hope River,-72.1639,41.8814,River/Stream,CESE,Total count:   480
Nitrite,0.003,ppm,,,Nitrate-Nitrite Nitrogen by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-001,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,10:21:00 AM,19931,Charters Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Shenipsit Lake Road,Connecticut,TOLLAND,,4501 - Charters Brook - Hockanum - Connecticut - Charters Brook,-72.40556,41.903266,River/Stream,CESE,Total count:   480
Orthophosphate,0.009,ppm,,,Phosphorus by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.001 ppm - Method Detection Level (MDL)",,,190219-001,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,10:21:00 AM,19931,Charters Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Shenipsit Lake Road,Connecticut,TOLLAND,,4501 - Charters Brook - Hockanum - Connecticut - Charters Brook,-72.40556,41.903266,River/Stream,CESE,Total count:   480
Phosphorus,0.025,ppm,,,Total Phosphorus After Block Digestion,"0.010 ppm - Estimated Detection Level, 0.001 ppm - Method Detection Level (MDL)",,,190219-001,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,10:21:00 AM,19931,Charters Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Shenipsit Lake Road,Connecticut,TOLLAND,,4501 - Charters Brook - Hockanum - Connecticut - Charters Brook,-72.40556,41.903266,River/Stream,CESE,Total count:   480
Inorganic nitrogen (nitrate and nitrite),0.379,ppm,,,Nitrate-Nitrite Nitrogen by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-001,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,10:21:00 AM,19931,Charters Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Shenipsit Lake Road,Connecticut,TOLLAND,,4501 - Charters Brook - Hockanum - Connecticut - Charters Brook,-72.40556,41.903266,River/Stream,CESE,Total count:   480
Nitrogen,0.589,ppm,,,Nitrate-Nitrite Nitrogen by Colorimetry,"0.050 ppm - Estimated Detection Level, 0.008 ppm - Method Detection Level (MDL)",,,190219-001,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,10:21:00 AM,19931,Charters Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Shenipsit Lake Road,Connecticut,TOLLAND,,4501 - Charters Brook - Hockanum - Connecticut - Charters Brook,-72.40556,41.903266,River/Stream,CESE,Total count:   480
Turbidity,1.3,None,,,Turbidity by Nephelometry,"0.300 None - Estimated Detection Level, 0.100 None - Method Detection Level (MDL)",,,190219-001,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,10:21:00 AM,19931,Charters Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Shenipsit Lake Road,Connecticut,TOLLAND,,4501 - Charters Brook - Hockanum - Connecticut - Charters Brook,-72.40556,41.903266,River/Stream,CESE,Total count:   480
Total solids,120,ppm,,,Total Residue,"41.000 ppm - Estimated Detection Level, 14.000 ppm - Method Detection Level (MDL)",,,190219-001,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,10:21:00 AM,19931,Charters Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Shenipsit Lake Road,Connecticut,TOLLAND,,4501 - Charters Brook - Hockanum - Connecticut - Charters Brook,-72.40556,41.903266,River/Stream,CESE,Total count:   480
Organic carbon,5.8,ppm,,,Total Organic Carbon by Combustion,"1.000 ppm - Estimated Detection Level, 0.500 ppm - Method Detection Level (MDL)",,,190219-001,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,10:21:00 AM,19931,Charters Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Shenipsit Lake Road,Connecticut,TOLLAND,,4501 - Charters Brook - Hockanum - Connecticut - Charters Brook,-72.40556,41.903266,River/Stream,CESE,Total count:   480
Calcium,6910,ppb,,,Calcium - AA Spectrometry,"100.000 ppb - Estimated Detection Level, 25.000 ppb - Method Detection Level (MDL)",,,190219-001,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,10:21:00 AM,19931,Charters Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Shenipsit Lake Road,Connecticut,TOLLAND,,4501 - Charters Brook - Hockanum - Connecticut - Charters Brook,-72.40556,41.903266,River/Stream,CESE,Total count:   480
Silica,8.716,ppm,,,Dissolved Silica by Colorimetry,"0.050 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-001,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,10:21:00 AM,19931,Charters Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Shenipsit Lake Road,Connecticut,TOLLAND,,4501 - Charters Brook - Hockanum - Connecticut - Charters Brook,-72.40556,41.903266,River/Stream,CESE,Total count:   480
"Alkalinity, total",9,ppm,,,Alkalinity by Titration,"6.000 ppm - Estimated Detection Level, 2.000 ppm - Method Detection Level (MDL)",,,190219-001,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,10:21:00 AM,19931,Charters Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Shenipsit Lake Road,Connecticut,TOLLAND,,4501 - Charters Brook - Hockanum - Connecticut - Charters Brook,-72.40556,41.903266,River/Stream,CESE,Total count:   480
Inorganic nitrogen (nitrate and nitrite),0.194,ppm,,,Nitrate-Nitrite Nitrogen by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-002,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,11:45:00 AM,20123,Labonte Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Babcock Road,Connecticut,WILLINGTON,,3100 - Willimantic River - Willimantic - Thames - Willimantic River,-72.3077,41.90359,River/Stream,CESE,Total count:   480
Nitrogen,0.225,ppm,,,Nitrate-Nitrite Nitrogen by Colorimetry,"0.050 ppm - Estimated Detection Level, 0.008 ppm - Method Detection Level (MDL)",,,190219-002,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,11:45:00 AM,20123,Labonte Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Babcock Road,Connecticut,WILLINGTON,,3100 - Willimantic River - Willimantic - Thames - Willimantic River,-72.3077,41.90359,River/Stream,CESE,Total count:   480
Magnesium,1920,ppb,,,Calcium - AA Spectrometry,"100.000 ppb - Estimated Detection Level, 25.000 ppb - Method Detection Level (MDL)",,,190219-002,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,11:45:00 AM,20123,Labonte Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Babcock Road,Connecticut,WILLINGTON,,3100 - Willimantic River - Willimantic - Thames - Willimantic River,-72.3077,41.90359,River/Stream,CESE,Total count:   480
Chloride,20.6,ppm,,,Inorganic Anions by Ion Chromatography,"2.500 ppm - Estimated Detection Level, 0.200 ppm - Method Detection Level (MDL)",,,190219-002,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,11:45:00 AM,20123,Labonte Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Babcock Road,Connecticut,WILLINGTON,,3100 - Willimantic River - Willimantic - Thames - Willimantic River,-72.3077,41.90359,River/Stream,CESE,Total count:   480
"Hardness, Ca, Mg",24.4,ppm,,,Hardness in Water by EDTA Titration,"0.700 ppm - Estimated Detection Level, 0.200 ppm - Method Detection Level (MDL)",,,190219-002,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,11:45:00 AM,20123,Labonte Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Babcock Road,Connecticut,WILLINGTON,,3100 - Willimantic River - Willimantic - Thames - Willimantic River,-72.3077,41.90359,River/Stream,CESE,Total count:   480
Total suspended solids,3,ppm,,,Non-Filterable Residue - TSS,"5.000 ppm - Estimated Detection Level, 2.000 ppm - Method Detection Level (MDL)",,,190219-002,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,11:45:00 AM,20123,Labonte Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,Adjacent Babcock Road,Connecticut,WILLINGTON,,3100 - Willimantic River - Willimantic - Thames - Willimantic River,-72.3077,41.90359,River/Stream,CESE,Total count:   480
Phosphate-phosphorus,0.01,ppm,,,Total Phosphorus After Block Digestion,"0.010 ppm - Estimated Detection Level, 0.001 ppm - Method Detection Level (MDL)",,,190219-003,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/18/2019,1:00:00 PM,16873,MOUNT HOPE RIVER,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/18/19,US of rte 89,Connecticut,ASHFORD,CT3206-00_02,3206 - Mount Hope River - Natchaug - Thames - Mount Hope River,-72.1639,41.8814,River/Stream,CESE,Total count:   480
